id;author_name;url;comment;date;like_count
UgxAl2CIABo8hqPISX94AaABAg;Johan Edlund;http://www.youtube.com/channel/UCpRuFRF7HyrDxA0Q993oapA;Отличные тексты, отличная подача! Сам по себе мальчик был прослушан несколько раз. Великолепно!!!;2020-03-16T10:47:14.000Z;0
UgyuOGxp7mCKQMGR_954AaABAg;Анна Левашова;http://www.youtube.com/channel/UCMlgg2B9RE1uZV8DQ8geOOg;Ну трындец же.....;2020-03-16T08:51:12.000Z;0
UgyO0q8VW2Ud9crF8I94AaABAg;Карина Морозова;http://www.youtube.com/channel/UCscE_1jKA_WzJ6FzsjSSTnA;Вы же мазду рекламовировали? а сейчас вдруг хендай????;2020-03-16T08:04:24.000Z;0
Ugw7JtS3cac0GPQwNdF4AaABAg;Ольга Михайлова;http://www.youtube.com/channel/UCLN_AhHnXP22aEM_96KMQKw;Анастасия, красавица );2020-03-16T07:39:32.000Z;0
UgyO1l-XhWEHqLW5IFp4AaABAg;Igor I;http://www.youtube.com/channel/UC-Q6KbPvpeH2GHWxZAQNS-g;Самбурская аппетитная тёлка;2020-03-13T23:19:42.000Z;0
Ugw3_-XlR7vSGVxdo5J4AaABAg;Motorton;http://www.youtube.com/channel/UCppuVuzD2hNqVdd96sDPx1g;Тот случай, когда в журнале Максим были девушки, а остался один престарелый Маленков((( До свидания, МаксиМ!;2020-03-13T11:57:24.000Z;2
UgzIAW1TJqBI40OFd8J4AaABAg;Lenard Berbeni;http://www.youtube.com/channel/UC6qn928cSwNMs4vDMUu49DQ;А как можно было попасть на мероприятие?;2020-03-12T18:19:54.000Z;0
Ugz-wlGrq-COWHZpqFB4AaABAg;Denis Sedyakin;http://www.youtube.com/channel/UCijlLeG1UT43w1wYaPwOW2Q;Про щетку зачет. Самбурская гешефт испортила ((;2020-03-12T16:26:01.000Z;0
Ugw6hAdC6tb09GxsQcp4AaABAg;Clashe Royale;http://www.youtube.com/channel/UC3wiy2RnmXFEDARsrwZk4lg;Тот случай, когда кроме себя самого этотто никто не читает.. И не знает..;2020-03-12T16:18:32.000Z;5
Ugz1Wi9N0PB8o81LDhl4AaABAg;ВЕНEДИКТ ЕРОФЕЕВ;http://www.youtube.com/channel/UCPxwX54s4a3J7UnCUPgRR_Q;При всём уважении и любви к изданию и лично к Александру... Что-то пошло не так.;2020-03-12T16:07:18.000Z;1
Ugybl1r1gOvw_BOFwzp4AaABAg;Grig Van;http://www.youtube.com/channel/UCMQtbwRxmDS4IijkOYn20sg;А кто это? Пушкина знаю, Есенина знаю...;2020-03-12T15:59:12.000Z;2
